ID,HASH,CREATED_BY,CREATED_ON,UPDATED_BY,UPDATED_ON,STATEMENT,TIMES
123,"select extract(year from o.fecha) as año, extract(month from o.fecha) as mes, 'microsoft365' as tipo_licencia, count(*) as licencias_vendidas, sum(o.ingreso) as ingresos from ventas v join operaciones o on v.id_operacion = o.id_operacion join microsoft365 m on v.id_licencia = m.id_licencia group by extract(year from o.fecha), extract(month from o.fecha)",PCSERVICEUSER,2025-07-05 01:59:01.564784,PCSERVICEUSER,2025-07-05 01:59:01.564784,"SELECT 
    EXTRACT(YEAR FROM O.FECHA) as Año,
    EXTRACT(MONTH FROM O.FECHA) as Mes,
    'Microsoft365' as Tipo_Licencia,
    COUNT(*) as Licencias_Vendidas,
    SUM(O.INGRESO) as Ingresos
FROM VENTAS V
JOIN OPERACIONES O ON V.ID_OPERACION = O.ID_OPERACION
JOIN MICROSOFT365 M ON V.ID_LICENCIA = M.ID_LICENCIA
GROUP BY EXTRACT(YEAR FROM O.FECHA), EXTRACT(MONTH FROM O.FECHA)",1
87,select * from mantenimientos,PCSERVICEUSER,2025-06-11 18:37:34.082334,PCSERVICEUSER,2025-07-10 16:01:41.906910,select * FROM MANTENIMIENTOS,5
124,"select extract(year from o.fecha) as año, extract(month from o.fecha) as mes, sum(o.ingreso) as ingresos, count(*) as licencias from ventas v join operaciones o on v.id_operacion = o.id_operacion join microsoft365 m on v.id_licencia = m.id_licencia group by cube(extract(year from o.fecha), extract(month from o.fecha)) order by año nulls last, mes nulls last",PCSERVICEUSER,2025-07-05 02:02:40.113528,PCSERVICEUSER,2025-07-05 02:02:40.113528,"SELECT 
    EXTRACT(YEAR FROM O.FECHA) as Año,
    EXTRACT(MONTH FROM O.FECHA) as Mes,
    SUM(O.INGRESO) as Ingresos,
    COUNT(*) as Licencias
FROM VENTAS V
JOIN OPERACIONES O ON V.ID_OPERACION = O.ID_OPERACION
JOIN MICROSOFT365 M ON V.ID_LICENCIA = M.ID_LICENCIA
GROUP BY CUBE(EXTRACT(YEAR FROM O.FECHA), EXTRACT(MONTH FROM O.FECHA))
ORDER BY Año NULLS LAST, Mes NULLS LAST",1
125,"select extract(year from o.fecha) as año, sum(case when extract(month from o.fecha) = 1 then o.ingreso else 0 end) as enero, sum(case when extract(month from o.fecha) = 2 then o.ingreso else 0 end) as febrero, sum(case when extract(month from o.fecha) = 3 then o.ingreso else 0 end) as marzo, sum(case when extract(month from o.fecha) = 4 then o.ingreso else 0 end) as abril, sum(case when extract(month from o.fecha) = 5 then o.ingreso else 0 end) as mayo, sum(case when extract(month from o.fecha) = 6 then o.ingreso else 0 end) as junio, sum(o.ingreso) as total_anual from ventas v join operaciones o on v.id_operacion = o.id_operacion join microsoft365 m on v.id_licencia = m.id_licencia group by extract(year from o.fecha) order by año",PCSERVICEUSER,2025-07-05 02:03:41.071948,PCSERVICEUSER,2025-07-05 02:03:41.071948,"SELECT 
    EXTRACT(YEAR FROM O.FECHA) as Año,
    SUM(CASE WHEN EXTRACT(MONTH FROM O.FECHA) = 1 THEN O.INGRESO ELSE 0 END) as Enero,
    SUM(CASE WHEN EXTRACT(MONTH FROM O.FECHA) = 2 THEN O.INGRESO ELSE 0 END) as Febrero,
    SUM(CASE WHEN EXTRACT(MONTH FROM O.FECHA) = 3 THEN O.INGRESO ELSE 0 END) as Marzo,
    SUM(CASE WHEN EXTRACT(MONTH FROM O.FECHA) = 4 THEN O.INGRESO ELSE 0 END) as Abril,
    SUM(CASE WHEN EXTRACT(MONTH FROM O.FECHA) = 5 THEN O.INGRESO ELSE 0 END) as Mayo,
    SUM(CASE WHEN EXTRACT(MONTH FROM O.FECHA) = 6 THEN O.INGRESO ELSE 0 END) as Junio,
    SUM(O.INGRESO) as Total_Anual
FROM VENTAS V
JOIN OPERACIONES O ON V.ID_OPERACION = O.ID_OPERACION
JOIN MICROSOFT365 M ON V.ID_LICENCIA = M.ID_LICENCIA
GROUP BY EXTRACT(YEAR FROM O.FECHA)
ORDER BY Año",1
4,select * from usuario_roles,PCSERVICEUSER,2025-05-17 05:35:40.571574,PCSERVICEUSER,2025-05-17 05:35:40.571574,SELECT * FROM USUARIO_ROLES,1
83,"select 'clientes' as tabla, count(*) as total from clientes union all select 'dispositivos', count(*) from dispositivos union all select 'operaciones', count(*) from operaciones union all select 'mantenimientos', count(*) from mantenimientos union all select 'mantenimiento_dispositivo', count(*) from mantenimiento_dispositivo",PCSERVICEUSER,2025-06-11 18:24:24.836778,PCSERVICEUSER,2025-06-11 18:24:24.836778,"SELECT 'CLIENTES' as TABLA, COUNT(*) as TOTAL FROM CLIENTES
UNION ALL
SELECT 'DISPOSITIVOS', COUNT(*) FROM DISPOSITIVOS
UNION ALL
SELECT 'OPERACIONES', COUNT(*) FROM OPERACIONES
UNION ALL
SELECT 'MANTENIMIENTOS', COUNT(*) FROM MANTENIMIENTOS
UNION ALL
SELECT 'MANTENIMIENTO_DISPOSITIVO', COUNT(*) FROM MANTENIMIENTO_DISPOSITIVO",1
126,"select * from ( select extract(year from o.fecha) as año, extract(month from o.fecha) as mes, o.ingreso from ventas v join operaciones o on v.id_operacion = o.id_operacion join microsoft365 m on v.id_licencia = m.id_licencia ) pivot ( sum(ingreso) for mes in (1 as ene, 2 as feb, 3 as mar, 4 as abr, 5 as may, 6 as jun, 7 as jul, 8 as ago, 9 as sep, 10 as oct, 11 as nov, 12 as dic) ) order by año",PCSERVICEUSER,2025-07-05 02:04:12.135734,PCSERVICEUSER,2025-07-05 02:04:12.135734,"SELECT * FROM (
    SELECT 
        EXTRACT(YEAR FROM O.FECHA) as Año,
        EXTRACT(MONTH FROM O.FECHA) as Mes,
        O.INGRESO
    FROM VENTAS V
    JOIN OPERACIONES O ON V.ID_OPERACION = O.ID_OPERACION
    JOIN MICROSOFT365 M ON V.ID_LICENCIA = M.ID_LICENCIA
)
PIVOT (
    SUM(INGRESO) 
    FOR Mes IN (1 as Ene, 2 as Feb, 3 as Mar, 4 as Abr, 
                5 as May, 6 as Jun, 7 as Jul, 8 as Ago,
                9 as Sep, 10 as Oct, 11 as Nov, 12 as Dic)
)
ORDER BY Año",1
93,"insert into clientes (nombre, apellido, celular, direccion, correo) values ('ana', 'lópez', '934567890', 'camino del sol 321', 'ana.lopez@email.com')",PCSERVICEUSER,2025-06-11 18:59:41.892938,PCSERVICEUSER,2025-06-11 18:59:41.892938,"INSERT INTO CLIENTES (NOMBRE, APELLIDO, CELULAR, DIRECCION, CORREO) VALUES
('Ana', 'López', '934567890', 'Camino del Sol 321', 'ana.lopez@email.com')",1
138,"with datos_mensuales as ( select extract(year from fecha) as año, extract(month from fecha) as mes, sum(ingreso) as ingresos_mes from operaciones where ingreso is not null group by extract(year from fecha), extract(month from fecha) ) select * from ( select año, mes, ingresos_mes from datos_mensuales ) pivot ( sum(ingresos_mes) for mes in (1 as enero, 2 as febrero, 3 as marzo, 4 as abril, 5 as mayo, 6 as junio, 7 as julio, 8 as agosto, 9 as septiembre, 10 as octubre, 11 as noviembre, 12 as diciembre) ) order by año",PCSERVICEUSER,2025-07-05 03:00:54.322640,PCSERVICEUSER,2025-07-05 03:04:13.242585,"WITH datos_mensuales AS (
    SELECT 
        EXTRACT(YEAR FROM FECHA) as Año,
        EXTRACT(MONTH FROM FECHA) as Mes,
        SUM(INGRESO) as Ingresos_Mes
    FROM OPERACIONES
    WHERE INGRESO IS NOT NULL
    GROUP BY EXTRACT(YEAR FROM FECHA), EXTRACT(MONTH FROM FECHA)
)
SELECT * FROM (
    SELECT Año, Mes, Ingresos_Mes
    FROM datos_mensuales
)
PIVOT (
    SUM(Ingresos_Mes)
    FOR Mes IN (1 as Enero, 2 as Febrero, 3 as Marzo, 4 as Abril, 
                5 as Mayo, 6 as Junio, 7 as Julio, 8 as Agosto,
                9 as Septiembre, 10 as Octubre, 11 as Noviembre, 12 as Diciembre)
)
ORDER BY Año",3
103,select * from clientes,PCSERVICEUSER,2025-06-21 14:05:01.537359,PCSERVICEUSER,2025-07-11 02:45:22.545479,SELECT * FROM CLIENTES,6
85,"select o.id_operacion, 'mp' || lpad(o.id_operacion, 3, '0') as mant_prev, 'cl' || lpad(c.id_cliente, 3, '0') as cod_cliente, c.nombre || ' ' || c.apellido as nombre_cliente, o.fecha, o.ingreso, o.egreso, m.descripcion as equipos, m.frecuencia, m.prox_mantenimiento, m.tipo_mantenimiento, o.id_cliente from operaciones o inner join mantenimientos m on o.id_operacion = m.id_operacion inner join clientes c on o.id_cliente = c.id_cliente where o.tipo_operacion = 'mantenimiento' order by o.fecha desc",PCSERVICEUSER,2025-06-11 18:32:30.879195,PCSERVICEUSER,2025-06-21 14:50:04.028562,"SELECT 
            o.id_operacion,
            'MP' || LPAD(o.id_operacion, 3, '0') as mant_prev,
            'CL' || LPAD(c.id_cliente, 3, '0') as cod_cliente,
            c.nombre || ' ' || c.apellido as nombre_cliente,
            o.fecha,
            o.ingreso,
            o.egreso,
            m.descripcion as equipos,
            m.frecuencia,
            m.prox_mantenimiento,
            m.tipo_mantenimiento,
            o.id_cliente
        FROM operaciones o
        INNER JOIN mantenimientos m ON o.id_operacion = m.id_operacion
        INNER JOIN clientes c ON o.id_cliente = c.id_cliente
        WHERE o.tipo_operacion = 'MANTENIMIENTO'
        ORDER BY o.fecha DESC",3
92,"insert into clientes (nombre, apellido, celular, direccion, correo) values ('carlos', 'sánchez', '923456789', 'pasaje real 789', 'carlos.sanchez@email.com')",PCSERVICEUSER,2025-06-11 18:59:41.889473,PCSERVICEUSER,2025-06-11 18:59:41.889473,"INSERT INTO CLIENTES (NOMBRE, APELLIDO, CELULAR, DIRECCION, CORREO) VALUES
('Carlos', 'Sánchez', '923456789', 'Pasaje Real 789', 'carlos.sanchez@email.com')",1
106,select*from mantenimientos,PCSERVICEUSER,2025-06-21 14:48:41.355490,PCSERVICEUSER,2025-07-10 19:35:46.701041,select*from mantenimientos,12
3,select * from usuarios,PCSERVICEUSER,2025-05-17 05:35:11.212649,PCSERVICEUSER,2025-06-21 14:48:40.143026,"SELECT *
FROM usuarios",6
62,-- reemplaza 'hash_real_de_leo' con el hash que generaste para la contraseña de leo,PCSERVICEUSER,2025-06-10 22:50:04.733915,PCSERVICEUSER,2025-06-10 22:54:03.351738,-- Reemplaza 'HASH_REAL_DE_LEO' con el hash que generaste para la contraseña de Leo,2
64,update usuarios set contrasena_hash = 'npglraltdedwcb8i$6c46ddd7ff0731fa1993a7679edd58b9177a2d72878b7764815b3e89843b93f84a4b4e61b76452944b0b443db8480d9d2669d6d29ab4cd9db9b96f2368a627d0' where nombre_usuario = 'jose_editor',PCSERVICEUSER,2025-06-10 22:50:04.812415,PCSERVICEUSER,2025-06-10 22:50:04.812415,"UPDATE USUARIOS
SET CONTRASENA_HASH = 'npgLRAltdedWCb8i$6c46ddd7ff0731fa1993a7679edd58b9177a2d72878b7764815b3e89843b93f84a4b4e61b76452944b0b443db8480d9d2669d6d29ab4cd9db9b96f2368a627d0'
WHERE NOMBRE_USUARIO = 'jose_editor'",1
70,update usuarios set contrasena_hash = 'scrypt:32768:8:1$y06elebvv52bt3np$ee360142c3ed533965e19c3c93fd51381f2ec31eaad4f6f06b985a3812de0c9e5ed7eeeee17ec7a226594db0631dd0bf2f1e503d7fbe8648630f9e28f98d55df' where nombre_usuario = 'leo_admin',PCSERVICEUSER,2025-06-10 22:54:03.405031,PCSERVICEUSER,2025-06-10 22:54:03.405031,"UPDATE USUARIOS
SET CONTRASENA_HASH = 'scrypt:32768:8:1$Y06EleBVV52Bt3Np$ee360142c3ed533965e19c3c93fd51381f2ec31eaad4f6f06b985a3812de0c9e5ed7eeeee17ec7a226594db0631dd0bf2f1e503d7fbe8648630f9e28f98d55df'
WHERE NOMBRE_USUARIO = 'leo_admin'",1
89,"insert into clientes (nombre, apellido, celular, direccion, correo) values ('pedro', 'ramírez', '945678901', 'ruta 5 sur 654', 'pedro.ramirez@email.com')",PCSERVICEUSER,2025-06-11 18:59:34.673541,PCSERVICEUSER,2025-06-11 18:59:34.673541,"INSERT INTO CLIENTES (NOMBRE, APELLIDO, CELULAR, DIRECCION, CORREO) VALUES
('Pedro', 'Ramírez', '945678901', 'Ruta 5 Sur 654', 'pedro.ramirez@email.com')",1
90,"insert into clientes (nombre, apellido, celular, direccion, correo) values ('juan', 'pérez', '987654321', 'av. siempre viva 123', 'juan.perez@email.com')",PCSERVICEUSER,2025-06-11 18:59:41.793185,PCSERVICEUSER,2025-06-11 18:59:41.793185,"INSERT INTO CLIENTES (NOMBRE, APELLIDO, CELULAR, DIRECCION, CORREO) VALUES
('Juan', 'Pérez', '987654321', 'Av. Siempre Viva 123', 'juan.perez@email.com')",1
94,"select id_cliente, nombre, apellido, celular, direccion, correo from clientes",PCSERVICEUSER,2025-06-11 19:00:00.999202,PCSERVICEUSER,2025-06-11 20:30:14.316355,"SELECT ID_CLIENTE, NOMBRE, APELLIDO, CELULAR, DIRECCION, CORREO
FROM CLIENTES",9
172,delete from mantenimiento_dispositivo,PCSERVICEUSER,2025-07-10 15:25:52.446160,PCSERVICEUSER,2025-07-10 16:02:31.274491,delete FROM MANTENIMIENTO_DISPOSITIVO,2
164,select*from dispositivos,PCSERVICEUSER,2025-07-10 14:31:00.949622,PCSERVICEUSER,2025-07-10 14:31:00.949622,select*from DISPOSITIVOS,1
165,select*from operaciones,PCSERVICEUSER,2025-07-10 14:44:34.089848,PCSERVICEUSER,2025-07-10 18:36:12.871251,select*from OPERACIONES,3
167,select * from mantenimiento_dispositivo,PCSERVICEUSER,2025-07-10 15:02:42.986683,PCSERVICEUSER,2025-07-10 20:34:30.574521,select * from MANTENIMIENTO_DISPOSITIVO,19
168,select d.id_dispositivo from dispositivos d,PCSERVICEUSER,2025-07-10 15:05:19.765331,PCSERVICEUSER,2025-07-10 15:05:19.765331,"SELECT d.ID_DISPOSITIVO
FROM DISPOSITIVOS d",1
170,select * from mantenimientos m,PCSERVICEUSER,2025-07-10 15:08:52.138268,PCSERVICEUSER,2025-07-10 15:09:06.150563,"SELECT *
FROM MANTENIMIENTOS m",2
173,select * from operaciones,PCSERVICEUSER,2025-07-10 15:29:43.917218,PCSERVICEUSER,2025-07-10 15:29:43.917218,select * FROM OPERACIONES,1
188,"select id_mantenimiento_disp, id_operacion, id_dispositivo from pcserviceuser.mantenimiento_dispositivo",PCSERVICEUSER,2025-07-10 22:59:04.720055,PCSERVICEUSER,2025-07-10 22:59:40.807005,"SELECT
    ID_MANTENIMIENTO_DISP,
    ID_OPERACION,
    ID_DISPOSITIVO
FROM
    PCSERVICEUSER.MANTENIMIENTO_DISPOSITIVO",2
63,update usuarios set contrasena_hash = 'y06elebvv52bt3np$ee360142c3ed533965e19c3c93fd51381f2ec31eaad4f6f06b985a3812de0c9e5ed7eeeee17ec7a226594db0631dd0bf2f1e503d7fbe8648630f9e28f98d55df' where nombre_usuario = 'leo_admin',PCSERVICEUSER,2025-06-10 22:50:04.794083,PCSERVICEUSER,2025-06-10 22:50:04.794083,"UPDATE USUARIOS
SET CONTRASENA_HASH = 'Y06EleBVV52Bt3Np$ee360142c3ed533965e19c3c93fd51381f2ec31eaad4f6f06b985a3812de0c9e5ed7eeeee17ec7a226594db0631dd0bf2f1e503d7fbe8648630f9e28f98d55df'
WHERE NOMBRE_USUARIO = 'leo_admin'",1
2,select * from roles,PCSERVICEUSER,2025-05-17 05:32:51.184307,PCSERVICEUSER,2025-05-17 05:44:37.291297,SELECT * FROM ROLES,6
65,-- reemplaza 'hash_real_de_luis' con el hash que generaste para la contraseña de luis,PCSERVICEUSER,2025-06-10 22:50:04.816113,PCSERVICEUSER,2025-06-10 22:54:03.425660,-- Reemplaza 'HASH_REAL_DE_LUIS' con el hash que generaste para la contraseña de Luis,2
66,-- reemplaza 'hash_real_de_jose' con el hash que generaste para la contraseña de josé,PCSERVICEUSER,2025-06-10 22:50:04.821276,PCSERVICEUSER,2025-06-10 22:54:03.423116,-- Reemplaza 'HASH_REAL_DE_JOSE' con el hash que generaste para la contraseña de José,2
67,commit,PCSERVICEUSER,2025-06-10 22:50:04.847826,PCSERVICEUSER,2025-06-10 22:54:11.162863,COMMIT,2
68,-- no olvides hacer commit para guardar los cambios,PCSERVICEUSER,2025-06-10 22:50:04.876038,PCSERVICEUSER,2025-06-10 22:54:11.161777,-- No olvides hacer COMMIT para guardar los cambios,2
69,update usuarios set contrasena_hash = 'k1f9lrwssjf47wlq$742a59d79d1b7ff49fc978eaac98e3159754e79c3453acc81096bbab94fa31b3ff0f6a6b3d4ed41b4fa1da33cc6ca575a26092282185dc8f678d35cd60fce488' where nombre_usuario = 'luis_visor',PCSERVICEUSER,2025-06-10 22:50:04.884018,PCSERVICEUSER,2025-06-10 22:50:04.884018,"UPDATE USUARIOS
SET CONTRASENA_HASH = 'K1f9lRWSsjf47wlQ$742a59d79d1b7ff49fc978eaac98e3159754e79c3453acc81096bbab94fa31b3ff0f6a6b3d4ed41b4fa1da33cc6ca575a26092282185dc8f678d35cd60fce488'
WHERE NOMBRE_USUARIO = 'luis_visor'",1
71,update usuarios set contrasena_hash = 'scrypt:32768:8:1$npglraltdedwcb8i$6c46ddd7ff0731fa1993a7679edd58b9177a2d72878b7764815b3e89843b93f84a4b4e61b76452944b0b443db8480d9d2669d6d29ab4cd9db9b96f2368a627d0' where nombre_usuario = 'jose_editor',PCSERVICEUSER,2025-06-10 22:54:03.423400,PCSERVICEUSER,2025-06-10 22:54:03.423400,"UPDATE USUARIOS
SET CONTRASENA_HASH = 'scrypt:32768:8:1$npgLRAltdedWCb8i$6c46ddd7ff0731fa1993a7679edd58b9177a2d72878b7764815b3e89843b93f84a4b4e61b76452944b0b443db8480d9d2669d6d29ab4cd9db9b96f2368a627d0'
WHERE NOMBRE_USUARIO = 'jose_editor'",1
72,update usuarios set contrasena_hash = 'scrypt:32768:8:1$k1f9lrwssjf47wlq$742a59d79d1b7ff49fc978eaac98e3159754e79c3453acc81096bbab94fa31b3ff0f6a6b3d4ed41b4fa1da33cc6ca575a26092282185dc8f678d35cd60fce488' where nombre_usuario = 'luis_visor',PCSERVICEUSER,2025-06-10 22:54:03.427465,PCSERVICEUSER,2025-06-10 22:54:03.427465,"UPDATE USUARIOS
SET CONTRASENA_HASH = 'scrypt:32768:8:1$K1f9lRWSsjf47wlQ$742a59d79d1b7ff49fc978eaac98e3159754e79c3453acc81096bbab94fa31b3ff0f6a6b3d4ed41b4fa1da33cc6ca575a26092282185dc8f678d35cd60fce488'
WHERE NOMBRE_USUARIO = 'luis_visor'",1
84,select*from clientes,PCSERVICEUSER,2025-06-11 18:25:38.332846,PCSERVICEUSER,2025-06-11 18:25:38.332846,select*from CLIENTES,1
91,"insert into clientes (nombre, apellido, celular, direccion, correo) values ('maría', 'gómez', '912345678', 'calle falsa 456', 'maria.gomez@email.com')",PCSERVICEUSER,2025-06-11 18:59:41.862190,PCSERVICEUSER,2025-06-11 18:59:41.862190,"INSERT INTO CLIENTES (NOMBRE, APELLIDO, CELULAR, DIRECCION, CORREO) VALUES
('María', 'Gómez', '912345678', 'Calle Falsa 456', 'maria.gomez@email.com')",1
