ID_OPERACION,ID_LICENCIA
3,A-001
72,A-002
73,A-003
83,A-004
84,A-005
85,A-006
86,A-007
123,A-008
148,A-009
219,A-010
220,A-011
228,A-012
229,A-013
234,A-014
241,A-015
242,A-016
245,A-017
250,A-018
251,A-019
252,A-020
253,A-021
255,A-022
256,A-023
262,A-024
263,A-025
265,A-026
283,A-027
288,A-028
289,A-029
1,M-001
9,M-002
96,M-003
143,M-004
144,M-005
221,M-006
222,M-007
230,M-008
235,M-009
254,M-010
257,M-011
266,M-012
284,M-013
6,W-001
103,W-002
185,W-003
223,W-004
224,W-005
231,W-006
236,W-007
246,W-008
258,W-009
264,W-010
267,W-011
285,W-012
